Date,Open,High,Low,Close,Adj Close,Volume
2021-08-09,1290.400024,1306.800049,1266.000000,1287.449951,1168.971069,6585101
2021-08-10,1288.000000,1329.699951,1282.400024,1323.050049,1201.295044,6314469
2021-08-11,1323.050049,1326.750000,1298.349976,1323.599976,1201.794312,3430349
2021-08-12,1323.000000,1394.800049,1317.750000,1386.550049,1258.951294,8613315
2021-08-13,1380.099976,1390.000000,1365.900024,1383.150024,1255.864136,4760344
2021-08-16,1381.949951,1399.949951,1360.250000,1367.849976,1241.972168,2912430
2021-08-17,1372.000000,1428.800049,1370.500000,1413.699951,1283.602783,8042970
2021-08-18,1418.000000,1425.000000,1404.250000,1412.500000,1282.513062,2939739
2021-08-20,1370.650024,1420.000000,1370.650024,1399.199951,1270.437134,4051399
2021-08-23,1415.449951,1442.949951,1409.000000,1416.000000,1285.691040,3987240
2021-08-24,1421.900024,1467.000000,1420.000000,1463.349976,1328.683838,5366923
2021-08-25,1463.000000,1478.000000,1450.000000,1463.099976,1328.456787,3105863
2021-08-26,1459.800049,1466.750000,1444.000000,1449.500000,1316.108276,1993944
2021-08-27,1449.849976,1457.099976,1431.199951,1445.400024,1312.385742,3097939
2021-08-30,1450.000000,1455.000000,1415.900024,1419.199951,1288.596558,2742699
2021-08-31,1424.800049,1454.000000,1406.949951,1447.650024,1314.428589,6392991
2021-09-01,1450.000000,1468.250000,1427.500000,1436.300049,1304.123169,1829925
2021-09-02,1436.000000,1452.550049,1421.199951,1437.800049,1305.485107,3860958
2021-09-03,1444.000000,1449.699951,1425.099976,1441.949951,1309.253174,1919590
2021-09-06,1448.000000,1467.900024,1436.099976,1461.150024,1326.686035,1801171
2021-09-07,1468.949951,1472.900024,1432.300049,1435.199951,1303.124268,1940043
2021-09-08,1440.199951,1442.349976,1419.849976,1427.849976,1296.450684,2256454
2021-09-09,1425.599976,1437.900024,1414.000000,1433.250000,1301.353760,2303457
2021-09-13,1436.000000,1439.800049,1420.349976,1429.500000,1297.948975,1937241
2021-09-14,1435.000000,1457.000000,1429.500000,1452.050049,1318.423584,1554999
2021-09-15,1442.099976,1480.000000,1437.949951,1464.849976,1330.045654,2410087
2021-09-16,1464.849976,1469.000000,1440.000000,1448.349976,1315.064087,1800078
2021-09-17,1451.000000,1472.000000,1436.599976,1451.550049,1317.969849,2861623
2021-09-20,1440.000000,1493.150024,1426.349976,1431.300049,1299.583130,2526342
2021-09-21,1439.000000,1466.449951,1420.400024,1461.699951,1327.185425,1713705
2021-09-22,1464.000000,1527.900024,1456.500000,1513.599976,1374.309448,5145820
2021-09-23,1525.099976,1531.000000,1504.000000,1521.500000,1381.482300,2015302
2021-09-24,1530.000000,1547.849976,1511.050049,1514.750000,1375.353760,3592146
2021-09-27,1523.000000,1525.000000,1459.199951,1464.400024,1329.637085,2728552
2021-09-28,1464.400024,1465.000000,1408.400024,1414.050049,1283.920532,3995669
2021-09-29,1400.000000,1408.949951,1372.750000,1395.349976,1266.941528,7948104
2021-09-30,1388.000000,1402.650024,1377.000000,1380.599976,1253.548828,3856630
2021-10-01,1375.000000,1384.000000,1364.800049,1371.250000,1245.059448,2661824
2021-10-04,1384.699951,1405.550049,1372.050049,1399.050049,1270.301025,2538936
2021-10-05,1399.099976,1421.000000,1381.000000,1413.050049,1283.012695,2481825
2021-10-06,1422.900024,1426.900024,1379.949951,1385.650024,1258.134155,2769341
2021-10-07,1397.949951,1423.300049,1375.650024,1417.199951,1286.780762,1956325
2021-10-08,1418.500000,1447.000000,1418.500000,1439.949951,1307.437134,2665924
2021-10-11,1420.000000,1434.449951,1385.599976,1400.199951,1271.345215,3073366
2021-10-12,1399.000000,1402.849976,1361.000000,1374.449951,1247.964722,2965629
2021-10-13,1386.900024,1410.000000,1377.000000,1402.150024,1273.115723,1738985
2021-10-14,1432.000000,1459.599976,1410.500000,1430.800049,1299.129272,4328124
2021-10-18,1420.000000,1486.949951,1420.000000,1479.650024,1343.483643,3579606
2021-10-19,1498.000000,1569.800049,1477.050049,1539.099976,1397.462769,8645334
2021-10-20,1544.000000,1576.500000,1515.800049,1539.300049,1397.644409,5159270
2021-10-21,1546.150024,1546.150024,1476.050049,1524.250000,1383.979248,4261416
2021-10-22,1531.000000,1561.949951,1483.750000,1517.449951,1377.805176,5223521
2021-10-25,1531.000000,1535.000000,1483.800049,1524.099976,1383.843140,3890467
2021-10-26,1571.900024,1630.000000,1543.000000,1563.300049,1419.435913,16978043
